"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean"
"TunBirths",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708,0
"TunMubt",1,0.855550975727277,1.15555097636094,1,1,170.556099324822,170.556099324822,0
"TunmuAg",0,-0.199996324953067,0.199996324953067,2,1,0,0.102040816326531,0
"muIp",0.05,0.00831454594310338,0.12831454532981,1,1,2.50057096890197,50.0114193780394,-2.99573227355399
"TunmuTbAg",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495335,-0.693147180559945
"RRmuHR",3.4,2.26371731808846,4.76371741237333,1,1,28.2456265141042,8.30753721003065,1.22377543162212
"ImmigVol",1,0.489595255730257,1.68959421414338,1,1,10.4966121525241,10.4966121525241,0
"ImmigVolFut",0,-0.00999981624765334,0.00999981624765334,2,0,0,0.00510204081632653,0
"TB1",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"TB2",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"TB3",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"TB4",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"TB5",0,-0.999981624765334,0.999981624765333,2,1,0,0.510204081632653,0
"RRtbprev",0,-0.724986677954867,0.724986677954867,2,1,0,0.369897959183673,0
"LtbiPar1",1.5,0.250022969043333,2.74997703095667,2,1,1.5,0.637755102040816,1.5
"LtbiPar2",1.5,0.250022969043333,2.74997703095667,2,1,1.5,0.637755102040816,1.5
"pImmAct",0.5,0.250000095780027,0.749999904219973,0,1,6.91593495719964,6.91593495719964,0
"TunLtbiTrend",0,-0.199996324953067,0.199996324953067,2,1,0,0.102040816326531,0
"ImmigPrevFutLat",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"ImmigPrevFutAct",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
