"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean"
"TunBirths",1,0.902466270280804,1.10246627321678,1,1,383.970427816708,383.970427816708,0
"TunMubt",1,0.902466270280804,1.10246627321678,1,1,383.970427816708,383.970427816708,0
"muIp",0.05,0.00740650163654982,0.132406489236065,1,1,2.2925173163123,45.850346326246,-2.99573227355399
"TunmuTbAg",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495334,-0.693147180559945
"RRmuHR",3.4,2.26371731808846,4.76371741237333,1,1,28.2456265141042,8.30753721003065,1.22377543162212
"ImmigVol",1,0.489595255730257,1.68959421414338,1,1,10.4966121525241,10.4966121525241,0
"ImmigVolFut",0,-0.00999981624765334,0.00999981624765334,2,0,0,0.00510204081632653,0
"ImDxChng",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0
"RRtbprev",1,0.0393674054677012,3.45925633659979,1,1,1.16325219884846,1.16325219884846,0
"LtbiPar1",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704037,-1.6094379124341
"LtbiPar2",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495334,-0.693147180559945
"pImAct",0.25,0.0876008004326897,0.462600799067147,0,1,4.69029896714751,14.0708969014425,-1.09861228866811
"TunLtbiTrend",0.6,0.151474056900893,1.35147411037636,1,1,3.67092508297762,6.11820847162937,-0.510825623765991
"ImmigPrevFutLat",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"ImmigPrevFutAct",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"ExogInf",1e-04,4.79538864648625e-05,0.000170848035454336,1,1,9.99999976217436,99999.9976217436,-9.21034037197618
"rEmmigF1",0.05,0.031980878278332,0.0719808785531924,1,1,23.8341871704041,476.683743408083,-2.99573227355399
"rEmmigF2",0.003,0.00208243082210859,0.00408243082861735,1,1,34.3980235734778,11466.0078578259,-5.80914299031403
"pHR",0.005,0.00195050540541324,0.00945050540915038,0,1,6.61748158531679,1316.87883547804,-5.29330482472449
"CR",10,5.62041129498166,15.6205538531824,1,1,15.1908116868929,1.51908116868929,2.30258509299405
"Early0",0.5,0.15184954012896,1.05184928162351,1,1,4.57077582225241,9.14155164450483,-0.693147180559945
"RelCrHr",3,1.68613836467279,4.68614120774134,1,1,15.1912206321218,5.06374021070726,1.09861228866811
"sigmaHr",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0
"sigmaFb",0.5,0.100000451869818,0.899999548130182,0,1,2.09344633834637,2.09344633834637,0
"pfast",0.064,0.00356154120331806,0.200561484697816,0,1,1.30367344334469,19.0662241089161,-2.68273239311792
"ORpfast1",2.5,0.81427964998191,5.11428214094487,1,1,5.02177267330843,2.00870906932337,0.916290731874155
"ORpfast2",0.5,0.180172910118262,0.980172790625303,1,1,5.82953003922563,11.6590600784513,-0.693147180559945
"ORpfastH",10,3.90681432841682,18.9066806802611,1,1,6.65622036880222,0.665622036880222,2.30258509299405
"ORpfastPI",0.21,0.0805002847893418,0.400500355795249,1,1,6.4444419110023,30.6878186238205,-1.56064774826467
