,BcValue,Lower,Upper,B0_G1_N2,Calib
TunBirths,1,0.9,1.1,1,0
TunMubt,1,0.9,1.1,1,0
RRmuIn,0.5,0.3,0.8,1,1
muIp,0.05,0.025,0.15,1,1
muTbH,0.2,0.1,0.4,1,1
TunmuHvAg,0.1,0.05,0.2,1,1
TunmuTbAg,0.5,0.2,0.8,1,1
muH1,0.01,0.005,0.03,1,1
muH2,0.1,0.05,0.2,1,1
muT2,0.01,0.005,0.03,1,1
RRmuHR,3.4,2.3,4.8,1,1
ImmigVol,1,0.5,1.7,1,1
ImmigVolFut,0,-0.01,0.01,2,0
ImDxChng,1,0.5,2,1,1
RRtbprev,1,0.08,3.5,1,1
LtbiPar1,0.2,0.1,0.4,1,1
LtbiPar2,0.5,0.3,0.9,1,1
pImAct,0.25,0.125,0.5,0,1
TunLtbiTrend,0.6,0.3,1.5,1,1
ImmigPrevFutLat,0.98,0.96,1,0,0
ImmigPrevFutAct,0.98,0.96,1,0,0
TunImmDr,1,0.8,1.2,1,1
TunImmDrFut,1,0.99,1.01,1,0
ExogInf,0.00005,0.00001,0.0001,1,1
rEmmigF1,0.05,0.03,0.07,1,1
rEmmigF2,0.003,0.002,0.004,1,1
pHR,0.005,0.0025,0.01,0,1
HivInc,1,0.5,1.5,1,1
HivIncFut,0.98,0.96,1,0,0
HivHrPar,2,1,3,1,1
rH1toH2,0.3,0.1,0.5,1,1
rT1toT2,0.023,0.005,0.05,1,1
TunHIVProgAg,0.2,0.1,0.4,1,1
ArtTbEff1,0.57,0.42,0.72,0,1
ArtTbEff2,0.75,0.57,0.9,0,1
TbHivEarly,0.19,0.05,0.38,0,1
CR,10,5,15,1,1
Early0,0.5,0.1,1,1,1
TrIn,0.23,0.12,0.38,0,1
RelCrHr,3,2,5,1,1
sigmaHiv,0.5,0.1,0.9,0,1
sigmaHr,0.5,0.1,0.9,0,1
sigmaFb,0.5,0.1,0.9,0,1
TunRelFit,1,0.5,3,1,1
pfast,0.064,0.003,0.2,0,1
pimmed,0.25,0.05,0.54,0,1
ORpfast1,2.5,0.8,5.1,1,1
ORpfast2,0.5,0.2,1,1,1
ORpfastH,10,4,19,1,1
ORpfastPI,0.21,0.08,0.4,1,1
rslow,0.00067,0.00004,0.002,1,1
rslowH,0.042,0.001,0.1,1,1
rrSlowFB,1.2,1,1.5,1,1
TunrslowAge,0.2,0.1,0.35,1,1
rfast,0.55,0.19,1.1,1,1
rRecov,0.03,0.01,0.06,1,1
pSmPos,0.5,0.25,0.75,0,1
ORpSmPos1,0.07,0.02,0.17,1,1
ORpSmPosH,0.28,0.14,0.47,1,1
rSlfCur,0.2,0.15,0.35,1,1
rSmConv,0.15,0.06,0.29,1,1
rLtScr,0.025,0.01,0.1,1,1
SensLt,0.8,0.75,0.84,0,1
rrSensLtHiv,0.85,0.75,0.9,0,1
SpecLt,0.975,0.965,0.985,0,1
rrTestHr,3,1.5,6,1,1
rrTestHiv,3,1.5,6,1,1
rrTestLrNoTb,0.2,0.1,0.4,1,1
pDefLt,0.33,0.29,0.37,0,1
EffLt,0.9,0.8,0.95,0,1
SensSn,0.95,0.9,0.99,0,1
SensSp,0.995,0.99,0.999,0,1
pImmScen,0.5,0.25,0.75,0,1
DelaySn,1.5,1,2.1,1,1
DelaySp,0.6,0.4,0.9,1,1
Dx1,0,-1,1,2,1
Dx2,0,-1,1,2,1
Dx3,0,-1,1,2,1
Dx4,0,-1,1,2,1
Dx5,0,-1,1,2,1
rrDxH,3,2,4,1,1
TunRRdxAge,1,0.5,2,1,1
pDst,0.8,0.7,0.9,0,1
TunTxMort,0.5,0.2,0.8,0,1
pCurPs,0.96,0.94,0.98,0,1
TxEf1,0.9,0.82,0.96,0,1
TxEf2,0.5,0.35,0.65,0,1
TxEf3,0.9,0.8,0.95,0,1
TxDefEarly,0.1,0.05,0.3,1,1
TunTxDef,1,0.75,1.3,1,1
RRdefHR,2,1.2,3,1,1
TxQualEarly,0.85,0.7,0.9,1,1
TunTxQual,1,0.75,1.3,1,1
RRcurDef,0.25,0.1,0.5,1,1
pReTx,0.5,0.2,0.8,0,1
pAR1,0.13,0.07,0.26,0,1
pAR2,0.08,0.03,0.17,0,1
pAR3,0.07,0.02,0.15,0,1
pAR4,0.49,0.27,0.77,0,1
pAR5,0.2,0.06,0.32,0,1
fAR,2,1,4,1,1
rArtInit15,2,1,4,1,1
rrArtInitL,0.1,0.05,0.2,1,1
rrArtInitHR,0.2,0.1,0.4,1,1
r_ArtLtfu,0.15,0.05,0.3,1,1
